Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TL_CURA_TestSuite_001,Chrome 121.0.0.0,,,08-02-2024 11:46:51,08-02-2024 11:55:11,8m - 20.500s,PASSED
,,,,,,,
Test Cases/Test Listener-1/TC_AppointmentConfirmation_001,Chrome 121.0.0.0,,,08-02-2024 11:47:32,08-02-2024 11:55:11,7m - 39.351s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 11:47:32,08-02-2024 11:49:35,2m - 3.094s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 121.0.0.0,,,08-02-2024 11:49:35,08-02-2024 11:51:06,1m - 30.482s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/input_programs""))",Chrome 121.0.0.0,,,08-02-2024 11:51:06,08-02-2024 11:51:36,30.214s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/input_visit_date""))",Chrome 121.0.0.0,,,08-02-2024 11:51:36,08-02-2024 11:52:06,30.159s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/td_1""))",Chrome 121.0.0.0,,,08-02-2024 11:52:06,08-02-2024 11:52:36,30.202s,PASSED
"setText(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/textarea_comment""), ""Test Listner"")",Chrome 121.0.0.0,,,08-02-2024 11:52:36,08-02-2024 11:53:37,1m - 0.357s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 121.0.0.0,,,08-02-2024 11:53:37,08-02-2024 11:54:09,32.066s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 11:54:09,08-02-2024 11:55:11,1m - 2.611s,PASSED
